title,author,journal,number,cites,year,cid,pubid
Activation of the protein deacetylase SIRT6 by long-chain fatty acids and widespread deacylation by mammalian sirtuins,"Jessica L Feldman, Josue Baeza, John M Denu",Journal of Biological Chemistry,"288 (43), 31350-31356",422,2013,17423676375463062074,u5HHmVD_uO8C
Mechanisms and dynamics of protein acetylation in mitochondria,"Josue Baeza, Michael J Smallegan, John M Denu",Trends in biochemical sciences,"41 (3), 231-244",141,2016,12743488347307729443,9yKSN-GCB0IC
Stoichiometry of site-specific lysine acetylation in an entire proteome,"Josue Baeza, James A Dowell, Michael J Smallegan, Jing Fan, Daniel Amador-Noguez, Zia Khan, John M Denu",Journal of Biological Chemistry,"289 (31), 21326-21338",122,2014,13538181156666923177,u-x6o8ySG0sC
Site-specific reactivity of nonenzymatic lysine acetylation,"Josue Baeza, Michael J Smallegan, John M Denu",ACS chemical biology,"10 (1), 122-128",116,2015,13788056376939451942,d1gkVwhDpl0C
Dynamic acetylation of phosphoenolpyruvate carboxykinase toggles enzyme activity between gluconeogenic and anaplerotic reactions,"Pedro Latorre-Muro, Josue Baeza, Eric A Armstrong, Ram�n Hurtado-Guerrero, Francisco Corzana, Lindsay E Wu, David A Sinclair, Pascual López-Buesa, José A Carrodeguas, John M Denu",Molecular cell,"71 (5), 718-732. e9",21,2018,2936067274340066899,zYLM7Y9cAGgC
Rapid identification of ESKAPE bacterial strains using an autonomous microfluidic device,"Jack Y Ho, Nate J Cira, John A Crooks, Josue Baeza, Douglas B Weibel",PloS one,"7 (7), e41245",21,2012,12833789962798828409,IjCSPb-OGe4C
Investigating histone acetylation stoichiometry and turnover rate,"J Fan, J Baeza, JM Denu",Methods in enzymology,"574, 125-148",11,2016,14299709590227119744,qjMakFHDy7sC
The E3 ligase adaptor molecule SPOP regulates fetal hemoglobin levels in adult erythroid cells,"Xianjiang Lan, Eugene Khandros, Peng Huang, Scott A Peslak, Saurabh K Bhardwaj, Jeremy D Grevet, Osheiza Abdulmalik, Hongxin Wang, Cheryl A Keller, Belinda Giardine, Josue Baeza, Emily R Duffner, Osama El Demerdash, Xiaoli S Wu, Christopher R Vakoc, Benjamin A Garcia, Ross C Hardison, Junwei Shi, Gerd A Blobel",Blood advances,"3 (10), 1586-1597",9,2019,1358169125368812382,YsMSGLbcyi4C
Human immunodeficiency virus enhances hepatitis C virus replication by differential regulation of IFN and TGF family genes,"Xiaozhen Zhang, Marybeth Daucher, Josue Baeza, Cheol‐Woo Kim, Rodney Russell, Shyamasundaran Kottilil",Journal of medical virology,"84 (9), 1344-1352",9,2012,12082925465644201972,2osOgNQ5qMEC
Deep profiling and custom databases improve detection of proteoforms generated by alternative splicing,"Laura M Agosto, Matthew R Gazzara, Caleb M Radens, Simone Sidoli, Josue Baeza, Benjamin A Garcia, Kristen W Lynch",Genome research,"29 (12), 2046-2055",2,2019,15057482275773608255,ufrVoPGSRksC
Site-Specific Lysine Acetylation Stoichiometry Across Subcellular Compartments,"Anastasia J Lindahl, Alexis J Lawton, Josue Baeza, James A Dowell, John M Denu",Protein Acetylation,79-106,2,2019,6294968079500862208,W7OEmFMy1HYC
Quantifying dynamic protein acetylation using quantitative stoichiometry,"Josue Baeza, Alexis J Lawton, Jing Fan, Michael J Smallegan, Ian Lienert, Tejas Gandhi, Oliver M Bernhardt, Lukas Reiter, John M Denu",bioRxiv,472530,2,2018,2597079310545087606,Tyk-4Ss8FVUC
Revealing dynamic protein acetylation across subcellular compartments,"Josue Baeza, Alexis J Lawton, Jing Fan, Michael J Smallegan, Ian Lienert, Tejas Gandhi, Oliver M Bernhardt, Lukas Reiter, John M Denu",Journal of Proteome Research,"",1,2020,6687770875702387831,eQOLeE2rZwMC
Improved SILAC quantification with data independent acquisition to investigate bortezomib-induced protein degradation,"Lindsay K Pino, Josue Baeza, Richard Lauman, Birgit Schilling, Benjamin A Garcia",bioRxiv,"",0,2020,,LkGwnXOMwfcC
Sex-specific effects of in vitro fertilization on adult metabolic phenotypes and hepatic transcriptomic and proteomic pathways in mouse.,"Marisa S Bartolomei, Laren Narapareddy, Richard M Schultz, Benjamin A Garcia, Eric Rhon-Calderon, Lisa A Vrooman, Duy Nguyen, Josue Baeza, Yemin Lan",bioRxiv,"",0,2020,,_FxGoFyzp5QC
Mechanism of Protein Acetylation in Mitochondria,Josue Baeza,University of Wisconsin--Madison,"",0,2017,,Y0pCki6q_DkC
